Date,Close/Last,Volume,Open,High,Low,Day
02/24/2020,322.42,161088400,323.14,333.5623,321.24,0
02/25/2020,312.65,218913200,323.94,324.61,311.69,1
02/26/2020,311.5,194773800,314.18,318.11,310.7,2
02/27/2020,297.51,284353500,305.46,311.5637,297.51,3
02/28/2020,296.26,385764000,288.7,297.892,285.54,4
03/02/2020,309.09,238703600,298.21,309.16,294.46,5
03/03/2020,300.24,300139100,309.5,313.84,297.57,6
03/04/2020,312.86,176613400,306.12,313.1,303.33,7
03/05/2020,302.46,186366800,304.98,308.47,300.01,8
03/06/2020,297.46,228667200,293.15,298.78,290.23,9
03/09/2020,274.23,309417300,275.3,284.19,273.45,10
03/10/2020,288.42,276444100,284.64,288.52,273.5,11
03/11/2020,274.36,256416600,280.7,281.94,270.88,12
03/12/2020,248.11,392220700,256,266.66,247.68,13
03/13/2020,269.32,329566100,263.09,271.4754,248.5237,14
03/16/2020,239.85,297240000,241.18,256.9,237.36,15
03/17/2020,252.8,262070500,245.04,256.17,237.07,16
03/18/2020,240,327597100,236.25,248.37,228.02,17
03/19/2020,240.51,289322000,239.25,247.38,232.22,18
03/20/2020,228.8,347158800,242.53,244.47,228.5,19
03/23/2020,222.95,326025200,228.19,229.6833,218.26,20
03/24/2020,243.15,235494500,234.42,244.1,233.8,21
03/25/2020,246.79,299430300,244.87,256.35,239.75,22
03/26/2020,261.2,257632800,249.52,262.8,249.05,23
03/27/2020,253.42,224341200,253.27,260.81,251.05,24
03/30/2020,261.65,170961900,255.7,262.43,253.53,25
03/31/2020,257.75,194881100,260.56,263.33,256.22,26
04/01/2020,246.15,189554600,247.98,257.6591,243.9,27
04/02/2020,251.83,177660400,245.19,252.68,244.59,28
04/03/2020,248.19,135561200,250.76,253.32,245.22,29
04/06/2020,264.86,188061200,257.84,267,248.1698,30
04/07/2020,265.13,201427200,274.21,275.03,264.89,31
04/08/2020,274.03,153774500,267.96,276,265.2542,32
04/09/2020,278.2,190282700,277.58,281.2,275.47,33
04/13/2020,275.66,114839100,277.14,277.51,271.41,34
04/14/2020,283.79,134143400,280.98,284.9,275.5106,35
04/15/2020,277.76,121775000,277.57,283.9407,275.46,36
04/16/2020,279.1,131798300,279.15,280.03,275.76,37
04/17/2020,286.64,146684800,285.38,287.3,282.4,38
04/20/2020,281.59,100109300,282.61,286.7912,281.35,39
04/21/2020,273.04,126385700,276.73,278.04,272.02,40
04/22/2020,279.1,93524580,278.35,281,276.91,41
04/23/2020,279.08,104709700,280.49,283.94,278.75,42
04/24/2020,282.97,85165950,280.73,283.7,278.5,43
04/27/2020,287.05,77896610,285.12,288.27,284.62,44
04/28/2020,285.73,105270000,291.02,291.4,285.4,45
04/29/2020,293.21,118745600,291.53,294.88,290.41,46
04/30/2020,290.48,122901700,291.71,293.3239,288.59,47
05/01/2020,282.79,125180000,285.31,290.6572,281.52,48
05/04/2020,283.57,80873210,280.74,283.9,279.13,49
05/05/2020,286.19,79569940,286.64,289.25,283.7134,50
05/06/2020,284.25,73632630,288.04,288.46,283.78,51
05/07/2020,287.68,75250410,287.75,289.78,287.13,52
05/08/2020,292.44,76622130,291.09,292.95,289.86,53
05/11/2020,292.5,79514230,290.34,294,289.88,54
05/12/2020,286.67,95870790,293.79,294.24,286.52,55
05/13/2020,281.6,144721100,286.06,287.19,278.965,56
05/14/2020,284.97,121977900,278.95,285.11,272.99,57
05/15/2020,286.28,111146300,282.37,286.33,281.34,58
05/18/2020,295,120320200,293.05,296.75,292.7,59
05/19/2020,291.97,95189320,294.35,296.205,291.95,60
05/20/2020,296.93,85861690,295.82,297.87,295.57,61
05/21/2020,294.88,78293930,296.79,297.67,293.6886,62
05/22/2020,295.44,63958200,294.57,295.63,293.22,63
05/26/2020,299.08,88951440,301.93,302.19,295.4646,64
05/27/2020,303.53,104817400,302.12,303.57,296.87,65
