Date,Close/Last,Volume,Open,High,Low,Day
02/24/2025,597.21,50737210,602.02,603.03,596.49,0
02/21/2025,599.94,76519820,610.16,610.3,599.47,1
02/20/2025,610.38,36554000,611.54,611.684,607.02,2
02/19/2025,612.93,31011070,610.08,613.23,609.56,3
02/18/2025,611.49,26749030,610.88,611.49,608.38,4
02/14/2025,609.7,26910450,609.94,610.99,609.07,5
02/13/2025,609.73,40921300,604.48,609.94,603.2,6
02/12/2025,603.36,45076080,599.2,604.55,598.51,7
02/11/2025,605.31,30056740,602.55,605.86,602.43,8
02/10/2025,604.85,26048710,604.03,605.4999,602.74,9
02/07/2025,600.77,50788520,606.89,608.13,600.05,10
02/06/2025,606.32,35771500,605.99,606.4525,602.63,11
02/05/2025,604.22,30653150,600.64,604.37,598.58,12
02/04/2025,601.78,33457820,597.83,602.3,597.28,13
02/03/2025,597.77,65857250,592.67,600.29,590.49,14
01/31/2025,601.82,66671470,607.5,609.96,601.05,15
01/30/2025,605.04,39281260,603.96,606.6,600.715,16
01/29/2025,601.81,37177430,603.72,604.13,599.22,17
01/28/2025,604.52,44433320,600.62,605.37,597.25,18
01/27/2025,599.37,70361130,594.81,599.69,594.64,19
01/24/2025,607.97,34604690,609.81,610.78,606.8,20
01/23/2025,609.75,41152100,605.8,609.75,605.52,21
01/22/2025,606.44,48195970,605.92,607.82,605.36,22
01/21/2025,603.05,42532850,600.67,603.06,598.67,23
01/17/2025,597.58,58070630,596.96,599.36,595.61,24
01/16/2025,591.64,43319660,594.175,594.35,590.93,25
01/15/2025,592.78,56900160,590.325,593.94,589.195,26
01/14/2025,582.19,48420580,584.36,585,578.35,27
01/13/2025,581.39,47910060,575.77,581.75,575.35,28
01/10/2025,580.49,73105050,585.88,585.95,578.55,29
01/08/2025,589.49,47304670,588.7,590.5799,585.195,30
01/07/2025,588.63,60393050,597.42,597.75,586.78,31
01/06/2025,595.36,47679440,596.27,599.7,593.6,32
01/03/2025,591.95,37888460,587.53,592.6,586.43,33
01/02/2025,584.64,50203980,589.39,591.13,580.5,34
12/31/2024,586.08,57052650,589.905,590.6399,584.42,35
12/30/2024,588.22,56578760,587.89,591.74,584.41,36
12/27/2024,595.01,64969310,597.54,597.7761,590.7647,37
12/26/2024,601.34,41338890,599.5,602.48,598.0825,38
12/24/2024,601.3,33160100,596.06,601.34,595.47,39
12/23/2024,594.69,57635830,590.89,595.3,587.661,40
12/20/2024,591.15,125716700,581.77,595.75,580.91,41
12/19/2024,586.1,85919450,591.36,593,585.85,42
12/18/2024,586.28,108248700,603.98,606.405,585.89,43
12/17/2024,604.29,55773550,604.19,605.17,602.885,44
12/16/2024,606.79,43695180,606,607.7795,605.21,45
12/13/2024,604.21,35904730,606.4,607.13,602.81,46
12/12/2024,604.33,31543810,606.58,607.16,604.33,47
12/11/2024,607.46,28677720,605.78,608.435,605.5,48
12/10/2024,602.8,37234520,605.37,605.8,602.13,49
12/09/2024,604.68,34742740,607.69,607.86,604.08,50
12/06/2024,607.81,31241550,607.44,609.07,607.02,51
12/05/2024,606.66,28762180,607.66,608.48,606.305,52
12/04/2024,607.66,42787560,605.63,607.91,604.95,53
12/03/2024,603.91,26906630,603.39,604.16,602.341,54
12/02/2024,603.63,31745990,602.97,604.32,602.47,55
11/29/2024,602.55,30177350,599.66,603.35,599.3805,56
11/27/2024,598.83,34000160,600.46,600.85,597.28,57
11/26/2024,600.65,45621290,598.8,601.33,598.07,58
11/25/2024,597.53,42441390,599.52,600.86,595.2,59
11/22/2024,595.51,38226390,593.66,596.15,593.1525,60
11/21/2024,593.67,46750290,593.4,595.12,587.45,61
11/20/2024,590.5,50032580,590.38,590.79,584.63,62
11/19/2024,590.3,49412050,584.71,591.045,584.03,63
11/18/2024,588.15,37084080,586.22,589.49,585.34,64
11/15/2024,585.75,75988770,589.72,590.2,583.86,65
11/14/2024,593.35,38904110,597.32,597.81,592.65,66
11/13/2024,597.19,47388640,597.37,599.23,594.96,67
11/12/2024,596.9,43006130,598.68,599.29,594.37,68
11/11/2024,598.76,37586770,599.81,600.17,597,69
11/08/2024,598.19,46444890,596.17,599.64,596.165,70
11/07/2024,595.61,47233210,593.08,596.65,592.9999,71
11/06/2024,591.04,68181970,589.2,591.93,585.39,72
11/05/2024,576.7,39478320,570.74,576.74,570.52,73
11/04/2024,569.81,38216980,571.18,572.5,567.89,74
11/01/2024,571.04,45667530,571.32,575.55,570.62,75
10/31/2024,568.64,60182450,575.56,575.63,568.44,76
10/30/2024,580.01,41435840,581.29,583.32,579.29,77
10/29/2024,581.77,42899660,579.85,582.907,578.43,78
10/28/2024,580.83,30174700,582.58,582.71,580.52,79
10/25/2024,579.04,47268180,581.51,584.46,578.08,80
10/24/2024,579.24,34979860,579.98,580.06,576.57,81
10/23/2024,577.99,49314570,581.26,581.7086,574.415,82
10/22/2024,583.32,34183840,581.05,584.5,580.38,83
10/21/2024,583.63,36439010,583.85,584.85,580.6001,84
10/18/2024,584.59,37416800,584.07,585.39,582.58,85
10/17/2024,582.35,34393710,585.91,586.12,582.16,86
10/16/2024,582.3,30725440,579.78,582.83,578.96,87
10/15/2024,579.78,54203640,584.59,584.9,578.545,88
10/14/2024,584.32,36217220,581.22,585.27,580.73,89
10/11/2024,579.58,42267990,576.05,580.33,575.91,90
10/10/2024,576.13,44138060,575.77,577.58,574.49,91
10/09/2024,577.14,37912240,573.16,577.71,572.55,92
10/08/2024,573.17,37398690,570.42,573.78,569.5299,93
10/07/2024,567.8,49964690,571.3,571.9599,566.63,94
10/04/2024,572.98,43005190,572.35,573.36,568.1,95
10/03/2024,567.82,40846470,567.36,569.8025,565.49,96
10/02/2024,568.86,38097800,567.71,569.9,565.27,97
10/01/2024,568.62,72668780,573.4,574.0622,566,98
09/30/2024,573.76,63655450,570.42,574.38,568.08,99
09/27/2024,571.47,42100930,573.39,574.22,570.42,100
09/26/2024,572.3,48336000,574.38,574.71,569.9,101
