Date,Close/Last,Volume,Open,High,Low
335.84,91523340,333.56,337.6996,332.991,144
330.65,105877900,335.37,335.49,327.97,145
326.97,99450830,325.7,327.13,321.73,146
330.3,63612110,328.57,330.9,325.86,147
322.64,93112240,330.9,331.2,322.1,148
323.5,76681330,321.22,326.797,319.8,149
328.73,71069430,322.58,329.58,321.64,150
334.19,64584610,333.22,334.96,332.15,151
332.37,51531590,333.97,334.77,331.6209,152
334.89,104081100,333.09,338.29,332.88,153
337.04,88698750,337.69,338.74,335.01,154
333.84,89431110,331.7,337.0126,331.19,155
339.76,45713110,336.06,339.96,336.01,156
334.93,90128880,339.91,342.17,334.38,157
340.76,56999600,338.12,341.63,338.09,158
343.78,45242480,342.85,343.85,341.86,159
346.85,59528610,345.56,347.35,344.89,160
352.43,80388530,349.59,354.02,349.06,161
350.13,73255510,352.28,352.4651,349.09,162
347.93,57958750,350.75,351.93,347.14,163
347.5,60357660,343.71,348.02,343.13,164
347.29,89501870,348.96,350.75,347.1,165
342.01,68425610,348.65,349.33,341.04,166
343.38,60051880,343.46,346.88,342.64,167
342.73,63574980,343.33,348.6847,342.4,168
344.61,55399290,342.96,345.24,340.65,169
345.78,49143930,345.93,345.99,343.13,170
339.39,91473000,342.13,342.98,335.62,171
338.22,65994110,339.76,340.12,337.99,172
326.66,127094300,332.1,338.2483,326.13,173
329.98,90597690,326.91,333.395,325.09,174
326.54,120448700,328.28,329.69,322.6,175
330.2,86068300,330.2,332.36,327.24,176
336.03,93294190,333.69,338.25,330.2935,177
343.54,126959700,340.86,347.94,339.59,178
350.24,82039750,349.24,352.19,348.86,179
350.16,74972970,349.93,351.51,347.65,180
354.56,172304200,363.97,364.38,354.06,181
354.04,85552020,353.49,355.18,350.51,182
356.67,58649050,356.4,357.56,355.06,183
353.21,68118560,355.58,356.7182,351.26,184
358.1,62959430,355.27,358.9,354.71,185
362.57,74541140,360.98,362.78,359.59,186
360.62,66111010,359.97,361.92,358.34,187
356.28,70591300,360.91,361.5,356.24,188
357.78,59940950,355.6,358.18,354.15,189
355.33,70411890,357.5,357.72,355.25,190
357.46,63230610,357.28,358.82,354.865,191
363.22,62415880,360.21,363.81,359.29,192
362.66,45330890,363.13,363.16,361.48,193
363.67,28514070,363.84,364.18,362.58,194
362.06,83872710,362.83,363.12,359.17,195
366.02,74504970,365.57,367.68,364.93,196
366.79,45927000,364.82,366.96,364.2,197
366.69,62882000,366.68,368.19,365.5,198
369.85,50749860,367.32,369.85,367.22,199
369.09,48944270,369.02,369.62,367.72,200
370.17,42458860,367.72,370.78,367.67,201
366.85,74098310,370.88,371.05,365.95,202
366.73,57735350,365.37,367.86,364.43,203
366.3,57698610,364.9,366.7402,363.26,204
364.66,69216170,368.64,369.8,364.47,205
369.59,64071100,367.4,369.59,365.92,206
370.17,58420520,369.82,371.16,368.8676,207
372.24,64119470,371.94,372.46,371.05,208
369.18,136542300,370.97,371.15,367.02,209
367.86,96386750,364.97,378.46,362.03,210
367.24,48388460,368.21,368.3317,366.03,211
367.57,46201400,368.28,369.62,367.2172,212
369,26457850,368.08,369.03,367.45,213
372.17,39000400,371.74,372.59,371.07,214
371.46,53680450,373.81,374,370.83,215
371.99,49455260,372.34,373.1,371.57,216
373.88,78520700,371.78,374.66,371.232,217
368.79,110210800,375.31,375.45,364.82,218
371.33,66426230,368.1,372.5,368.05,219
373.55,107997700,369.71,376.98,369.12,220
379.1,68766810,376.1,379.9,375.91,221
381.26,71677210,380.59,381.49,377.1,222
378.69,51176720,377.85,380.58,377.7189,223
378.77,52547720,378.89,379.86,376.36,224
379.79,45303620,378.69,380.86,377.85,225
378.46,49989110,380.59,381.13,378.1,226
375.7,107160000,376.72,377.58,373.7,227
378.65,51233300,378.34,379.23,376.75,228
383.89,61836060,381.11,384.79,380.69,229
384.24,47955810,384.49,384.95,383.25,230
382.88,52136930,382.25,384.1256,381.835,231
384.39,70401970,383.67,384.77,378.46,232
383.79,42665280,385.41,385.85,383.54,233
374.41,123351100,380.22,380.32,372.01,234
377.63,94198100,376.36,381.93,375.89,235
370.07,126765100,375.63,376.67,368.27,236
376.23,75817600,373.72,377.34,370.376,237
381.55,64450660,379.65,383.22,376.3181,238
